loss,accuracy,val_loss,val_accuracy
0.5198061466217041,0.8679999709129333,0.20050305128097534,0.9465000033378601
0.210832878947258,0.9412037134170532,0.1471761018037796,0.9608333110809326
0.16073496639728546,0.9542222023010254,0.12487150728702545,0.9668333530426025
0.13015590608119965,0.9632962942123413,0.11152943968772888,0.968666672706604
0.10705834627151489,0.9695925712585449,0.09822520613670349,0.9703333377838135
0.09048893302679062,0.974481463432312,0.09330665320158005,0.9736666679382324
0.07714762538671494,0.9781110882759094,0.08261393755674362,0.9769999980926514
0.06570021063089371,0.9815185070037842,0.08199924975633621,0.9769999980926514
0.05674593523144722,0.9838518500328064,0.08439032733440399,0.9751666784286499
0.048439085483551025,0.9868888854980469,0.0777553841471672,0.9760000109672546
0.04255359247326851,0.988611102104187,0.07411645352840424,0.9793333411216736
0.036282964050769806,0.9906666874885559,0.0756935328245163,0.9778333306312561
0.031602296978235245,0.9925000071525574,0.07519694417715073,0.9796666502952576
0.027255697175860405,0.9936481714248657,0.0759955421090126,0.9801666736602783
0.02329324185848236,0.9948333501815796,0.07657717168331146,0.9788333177566528
0.019746992737054825,0.9955185055732727,0.0741637647151947,0.9816666841506958
0.016648896038532257,0.9966111183166504,0.08268454670906067,0.9785000085830688
0.014655843377113342,0.9968518614768982,0.07506492733955383,0.9810000061988831
0.012395973317325115,0.9977222084999084,0.07278593629598618,0.9816666841506958
0.010596114210784435,0.9979814887046814,0.07578884810209274,0.9829999804496765
0.009216580539941788,0.9982222318649292,0.07570788264274597,0.9818333387374878
0.007017162162810564,0.9991296529769897,0.07836619019508362,0.9796666502952576
0.006440783850848675,0.9990000128746033,0.07887665182352066,0.9810000061988831
0.005729195661842823,0.9992592334747314,0.08284279704093933,0.9806666374206543
0.004195797257125378,0.9996481537818909,0.08270958065986633,0.981333315372467
